Horizon,Quantile,QL_base_full,QL_base_pre,N_full,N_precrisis,QL_HAR-X-QR_full,QL_HAR-X-QR_pre,Delta_full_HAR-X-QR,Delta_pre_HAR-X-QR,QL_HAR-X-vol-12m_full,QL_HAR-X-vol-12m_pre,Delta_full_HAR-X-vol-12m,Delta_pre_HAR-X-vol-12m,QL_HAR-X-vol-36m_full,QL_HAR-X-vol-36m_pre,Delta_full_HAR-X-vol-36m,Delta_pre_HAR-X-vol-36m
6m,0.05,0.00026897963747402233,0.0002565759434196428,10414,10076,0.00026992661396913853,0.0002574285325875249,9.469764951161998e-07,8.525891678820953e-07,0.0002667078064534081,0.0002535946876259939,-2.2718310206142262e-06,-2.981255793648894e-06,0.000280322794717668,0.0002664015370814903,1.1343157243645652e-05,9.825593661847527e-06
6m,0.25,0.0009004080251355901,0.0008458593382202767,10414,10076,0.0008984834436666343,0.000843669599143206,-1.9245814689558202e-06,-2.1897390770706914e-06,0.000886321076038021,0.0008335579193133717,-1.4086949097569159e-05,-1.2301418906904976e-05,0.0009296193911295243,0.000873784725752906,2.9211365993934177e-05,2.7925387532629293e-05
6m,0.5,0.0012089799170281758,0.0011256987486699308,10414,10076,0.001209757452942795,0.0011253582537818633,7.775359146190881e-07,-3.4049488806752425e-07,0.001201586866849407,0.0011250748190107366,-7.393050178768762e-06,-6.239296591941876e-07,0.0012333557915256267,0.0011483200160254325,2.437587449745089e-05,2.2621267355501682e-05
6m,0.75,0.001029189652986362,0.0009427773519523081,10414,10076,0.001035073929949402,0.0009507265099362521,5.884276963040013e-06,7.949157983944003e-06,0.0010426542772683756,0.0009646932350743447,1.3464624282013594e-05,2.191588312203661e-05,0.001065799601411726,0.0009797275886344848,3.6609948425364016e-05,3.695023668217668e-05
6m,0.95,0.00045402291862311247,0.00040287980688787594,10414,10076,0.000387462387769017,0.0003647113305263124,-6.656053085409545e-05,-3.816847636156352e-05,0.00039532070273921296,0.0003663111142790177,-5.870221588389951e-05,-3.656869260885824e-05,0.00042846951922411103,0.0004100333703944717,-2.5553399399001438e-05,7.153563506595746e-06
12m,0.05,0.00027717252964213734,0.00026880985164507955,10282,10076,0.0002659381627006754,0.00025728961737295935,-1.1234366941461965e-05,-1.1520234272120202e-05,0.0002591181217759084,0.0002487061646828519,-1.805440786622895e-05,-2.0103686962227656e-05,0.00028967823653280964,0.00028013647702013845,1.2505706890672303e-05,1.13266253750589e-05
12m,0.25,0.0009191807266190081,0.0008853777733688985,10282,10076,0.0008862540171071706,0.0008522854856519271,-3.292670951183759e-05,-3.3092287716971315e-05,0.0008937093964706863,0.0008639275568426962,-2.5471330148321876e-05,-2.1450216526202248e-05,0.0009417011518978341,0.0008978348839552625,2.2520425278825984e-05,1.2457110586364074e-05
12m,0.5,0.0012140829665341208,0.001153714185957452,10282,10076,0.0012004553780121461,0.0011406247768732834,-1.362758852197464e-05,-1.308940908416865e-05,0.0012037839523430355,0.0011523556150214729,-1.0299014191085228e-05,-1.3585709359791812e-06,0.0012401605832507454,0.0011691978416297256,2.60776167166246e-05,1.5483655672273583e-05
12m,0.75,0.001031747597702015,0.0009645896350621915,10282,10076,0.0010406828413026883,0.0009888999854280392,8.935243600673333e-06,2.4310350365847706e-05,0.0010075287424570409,0.0009547680146506796,-2.421885524497413e-05,-9.821620411511905e-06,0.0011059179753081026,0.0010384628722986168,7.41703776060876e-05,7.387323723642529e-05
12m,0.95,0.00044627097778096266,0.0004175373716545087,10282,10076,0.00033275079379588426,0.00032797903872608446,-0.0001135201839850784,-8.955833292842425e-05,0.0003391454851994128,0.00032044019186658096,-0.00010712549258154984,-9.709717978792775e-05,0.0004171203337083437,0.0004123861990313194,-2.9150644072618945e-05,-5.151172623189294e-06
