horizon,end_date,n_obs,ql_har,ql_harx,delta_ql,delta_ql_e4
6m,2012-05-15,7094,0.0002864494113383381,0.00029702679745795095,1.057738611961285e-05,0.1057738611961285
6m,2012-06-14,7115,0.00028641558788724847,0.00029694515991965126,1.052957203240279e-05,0.1052957203240279
6m,2012-07-13,7136,0.00028640139354853093,0.0002968657756305892,1.046438208205828e-05,0.10464382082058281
6m,2012-08-13,7157,0.00028649835223636474,0.0002968986345628268,1.040028232646205e-05,0.1040028232646205
6m,2012-09-12,7178,0.0002866855457899283,0.00029701365229517544,1.0328106505247154e-05,0.10328106505247153
6m,2012-10-11,7199,0.00028694891025238,0.0002972188296625909,1.0269919410210867e-05,0.10269919410210866
6m,2012-11-09,7220,0.0002873115247596178,0.00029752525698442255,1.0213732224804734e-05,0.10213732224804734
6m,2012-12-10,7241,0.00028768413781719854,0.0002978389212737305,1.0154783456531975e-05,0.10154783456531975
6m,2013-01-11,7262,0.00028809126424761,0.0002981925167385756,1.0101252490965626e-05,0.10101252490965626
6m,2013-02-11,7283,0.00028842599946637065,0.00029847198495616635,1.0045985489795701e-05,0.10045985489795702
6m,2013-03-12,7304,0.0002886957570874474,0.0002986764903550006,9.980733267553159e-06,0.09980733267553159
6m,2013-04-12,7325,0.00028895897010020836,0.00029885034576699183,9.891375666783479e-06,0.09891375666783479
6m,2013-05-14,7346,0.00028926105586610034,0.0002990609531906581,9.799897324557763e-06,0.09799897324557763
6m,2013-06-13,7367,0.0002896031750698746,0.00029931330624530944,9.71013117543484e-06,0.0971013117543484
6m,2013-07-12,7388,0.0002898915420106749,0.0002994869983004844,9.595456289809476e-06,0.09595456289809476
6m,2013-08-12,7409,0.0002902445825662624,0.00029973473292107524,9.49015035481282e-06,0.09490150354812821
6m,2013-09-11,7430,0.00029067107815549314,0.0003000252780027485,9.354199847255381e-06,0.09354199847255382
6m,2013-10-10,7451,0.00029108928405006804,0.0003002341472377353,9.144863187667278e-06,0.09144863187667278
6m,2013-11-08,7472,0.0002915353675139786,0.0003004180651762114,8.882697662232768e-06,0.08882697662232768
6m,2013-12-09,7493,0.00029208113316193864,0.0003007144762055063,8.633343043567643e-06,0.08633343043567643
6m,2014-01-10,7514,0.000292701773559063,0.0003011189827195362,8.41720916047316e-06,0.08417209160473159
6m,2014-02-10,7535,0.0002933563927836521,0.00030160527733051157,8.248884546859458e-06,0.08248884546859457
