Date,Year,Month,nino34_raw,nino34
1976-07-01,1976,7,27.13,-0.163333333333334
1976-08-01,1976,8,26.98,0.125
1976-09-01,1976,9,27.02,0.3013333333333357
1976-10-01,1976,10,27.46,0.743666666666666
1976-11-01,1976,11,27.41,0.7073333333333309
1976-12-01,1976,12,27.09,0.49099999999999966
1977-01-01,1977,1,27.32,0.7756666666666661
1977-02-01,1977,2,27.13,0.3776666666666628
1977-03-01,1977,3,27.47,0.1869999999999976
1977-04-01,1977,4,27.44,-0.37866666666666404
1977-05-01,1977,5,27.72,-0.2133333333333347
1977-06-01,1977,6,27.74,0.013333333333331865
1977-07-01,1977,7,27.38,0.086666666666666
1977-08-01,1977,8,26.85,-0.004999999999999005
1977-09-01,1977,9,27.12,0.4013333333333371
1977-10-01,1977,10,27.35,0.6336666666666666
1977-11-01,1977,11,27.19,0.48733333333333206
1977-12-01,1977,12,27.29,0.690999999999999
1978-01-01,1978,1,27.17,0.6256666666666675
1978-02-01,1978,2,27.0,0.24766666666666382
1978-03-01,1978,3,27.09,-0.1930000000000014
1978-04-01,1978,4,27.12,-0.6986666666666643
1978-05-01,1978,5,27.2,-0.7333333333333343
1978-06-01,1978,6,27.02,-0.706666666666667
1978-07-01,1978,7,26.74,-0.5533333333333346
1978-08-01,1978,8,26.07,-0.7850000000000001
1978-09-01,1978,9,26.01,-0.7086666666666623
1978-10-01,1978,10,26.25,-0.4663333333333348
1978-11-01,1978,11,26.33,-0.3726666666666709
1978-12-01,1978,12,26.54,-0.05900000000000105
1979-01-01,1979,1,26.41,-0.13433333333333408
1979-02-01,1979,2,26.53,-0.22233333333333505
1979-03-01,1979,3,27.27,-0.013000000000001677
1979-04-01,1979,4,27.83,0.011333333333332973
1979-05-01,1979,5,27.69,-0.2433333333333323
1979-06-01,1979,6,27.43,-0.29666666666666686
1979-07-01,1979,7,26.82,-0.4733333333333327
1979-08-01,1979,8,26.75,-0.10500000000000043
1979-09-01,1979,9,26.99,0.27133333333333454
1979-10-01,1979,10,26.83,0.11366666666666347
1979-11-01,1979,11,26.99,0.2873333333333292
1979-12-01,1979,12,27.11,0.5109999999999992
1980-01-01,1980,1,27.08,0.5356666666666641
1980-02-01,1980,2,26.97,0.21766666666666268
1980-03-01,1980,3,27.31,0.02699999999999747
1980-04-01,1980,4,27.75,-0.06866666666666532
1980-05-01,1980,5,28.01,0.07666666666666799
1980-06-01,1980,6,27.94,0.2133333333333347
1980-07-01,1980,7,27.23,-0.06333333333333258
1980-08-01,1980,8,26.48,-0.375
1980-09-01,1980,9,26.44,-0.2786666666666626
1980-10-01,1980,10,26.46,-0.25633333333333397
1980-11-01,1980,11,26.6,-0.1026666666666678
1980-12-01,1980,12,26.65,0.05099999999999838
1981-01-01,1981,1,26.18,-0.3643333333333345
1981-02-01,1981,2,26.11,-0.6423333333333368
1981-03-01,1981,3,26.64,-0.6430000000000007
1981-04-01,1981,4,27.29,-0.5286666666666662
1981-05-01,1981,5,27.36,-0.5733333333333341
1981-06-01,1981,6,27.27,-0.456666666666667
1981-07-01,1981,7,26.65,-0.6433333333333344
1981-08-01,1981,8,26.33,-0.5250000000000021
1981-09-01,1981,9,26.53,-0.18866666666666276
1981-10-01,1981,10,26.42,-0.2963333333333331
1981-11-01,1981,11,26.29,-0.41266666666667007
1981-12-01,1981,12,26.4,-0.19900000000000162
1982-01-01,1982,1,26.67,0.12566666666666748
1982-02-01,1982,2,26.59,-0.16233333333333633
1982-03-01,1982,3,27.41,0.1269999999999989
1982-04-01,1982,4,28.03,0.21133333333333582
1982-05-01,1982,5,28.39,0.456666666666667
1982-06-01,1982,6,28.26,0.533333333333335
1982-07-01,1982,7,27.66,0.36666666666666714
1982-08-01,1982,8,27.58,0.7249999999999979
1982-09-01,1982,9,28.21,1.491333333333337
1982-10-01,1982,10,28.71,1.993666666666666
1982-11-01,1982,11,28.62,1.9173333333333318
1982-12-01,1982,12,28.8,2.2010000000000005
1983-01-01,1983,1,28.89,2.3456666666666663
1983-02-01,1983,2,28.69,1.937666666666665
1983-03-01,1983,3,28.66,1.376999999999999
1983-04-01,1983,4,28.77,0.9513333333333343
1983-05-01,1983,5,28.84,0.9066666666666663
1983-06-01,1983,6,28.27,0.543333333333333
1983-07-01,1983,7,27.18,-0.11333333333333329
1983-08-01,1983,8,26.59,-0.26500000000000057
1983-09-01,1983,9,26.2,-0.5186666666666646
1983-10-01,1983,10,25.56,-1.156333333333336
1983-11-01,1983,11,25.41,-1.292666666666669
1983-12-01,1983,12,25.57,-1.029
1984-01-01,1984,1,25.88,-0.6643333333333352
1984-02-01,1984,2,26.56,-0.19233333333333746
1984-03-01,1984,3,26.77,-0.5130000000000017
1984-04-01,1984,4,27.14,-0.6786666666666648
1984-05-01,1984,5,27.2,-0.7333333333333343
1984-06-01,1984,6,26.83,-0.8966666666666683
1984-07-01,1984,7,26.79,-0.5033333333333339
1984-08-01,1984,8,26.61,-0.245000000000001
1984-09-01,1984,9,26.38,-0.3386666666666649
1984-10-01,1984,10,26.04,-0.6763333333333357
1984-11-01,1984,11,25.52,-1.1826666666666696
1984-12-01,1984,12,25.25,-1.3490000000000002
1985-01-01,1985,1,25.38,-1.1643333333333352
1985-02-01,1985,2,26.03,-0.722333333333335
1985-03-01,1985,3,26.5,-0.7830000000000013
1985-04-01,1985,4,26.64,-1.1786666666666648
1985-05-01,1985,5,26.9,-1.033333333333335
1985-06-01,1985,6,26.81,-0.9166666666666679
1985-07-01,1985,7,26.56,-0.7333333333333343
1985-08-01,1985,8,26.3,-0.5549999999999997
1985-09-01,1985,9,26.02,-0.6986666666666643
1985-10-01,1985,10,26.23,-0.4863333333333344
1985-11-01,1985,11,26.33,-0.3726666666666709
1985-12-01,1985,12,26.19,-0.4089999999999989
1986-01-01,1986,1,25.89,-0.6543333333333337
1986-02-01,1986,2,26.05,-0.7023333333333355
1986-03-01,1986,3,26.87,-0.41300000000000026
1986-04-01,1986,4,27.49,-0.3286666666666669
1986-05-01,1986,5,27.4,-0.533333333333335
1986-06-01,1986,6,27.42,-0.30666666666666487
1986-07-01,1986,7,27.18,-0.11333333333333329
1986-08-01,1986,8,27.17,0.3150000000000013
1986-09-01,1986,9,27.24,0.5213333333333345
1986-10-01,1986,10,27.53,0.8136666666666663
1986-11-01,1986,11,27.71,1.0073333333333316
1986-12-01,1986,12,27.72,1.1209999999999987
1987-01-01,1987,1,27.68,1.1356666666666655
1987-02-01,1987,2,27.88,1.1276666666666628
1987-03-01,1987,3,28.27,0.9869999999999983
1987-04-01,1987,4,28.39,0.5713333333333352
1987-05-01,1987,5,28.56,0.6266666666666652
1987-06-01,1987,6,28.65,0.923333333333332
1987-07-01,1987,7,28.59,1.2966666666666669
1987-08-01,1987,8,28.42,1.5650000000000013
1987-09-01,1987,9,28.36,1.6413333333333355
1987-10-01,1987,10,27.96,1.243666666666666
1987-11-01,1987,11,27.77,1.0673333333333304
1987-12-01,1987,12,27.54,0.940999999999999
1988-01-01,1988,1,27.45,0.9056666666666651
1988-02-01,1988,2,27.03,0.27766666666666495
1988-03-01,1988,3,27.38,0.09699999999999775
1988-04-01,1988,4,27.38,-0.4386666666666663
1988-05-01,1988,5,26.68,-1.2533333333333339
1988-06-01,1988,6,25.99,-1.7366666666666681
1988-07-01,1988,7,25.56,-1.7333333333333343
1988-08-01,1988,8,25.66,-1.1950000000000003
1988-09-01,1988,9,25.72,-0.998666666666665
1988-10-01,1988,10,24.82,-1.8963333333333345
